Name;Longitude;Latitude;PosErrorDirection;PosErrorLambda1;PosErrorLambda2;IsDirected;Direction;ConfInt;Power;MaxPowerUsedForTowerEstimationbyPE;TowerID;MCC;MNC;TAC;CellIdentity;NRARFCN;PhyCellID;SSBIndex;NCI
gNodeB - ID:833792/54 PCI:110;103.841693;1.272443;-176.711639;0.235612;0.159787;1;270;226;30;-61.6;48;525;10;3013;12124214;422910;110;3;213450806
gNodeB - ID:834368/54 PCI:46;103.857046;1.269698;-165.913101;1.721182;1.318349;1;300;360;30;-56.4;2;525;10;3013;12271670;422910;46;3;213598262
gNodeB - ID:836992/52 PCI:746;103.843035;1.270598;-169.904922;9.620756;9.576143;1;0;360;30;-59.0;246;525;10;3013;12943412;422910;746;3;214270004
gNodeB - ID:32887715/255 PCI:470;103.962584;1.329803;-161.284958;14.691412;14.618424;1;0;360;30;-63.5;71;525;1;812;13870079;426970;470;0;8419255295
gNodeB - ID:32983107/255 PCI:341;103.833123;1.272229;-1.662549;0.436184;0.215261;1;90;360;30;-55.5;63;525;1;841;4735999;426970;341;0;8443675647
gNodeB - ID:32990467/253 PCI:324;103.882096;1.295547;-2.844140;3.369294;3.315323;1;90;360;30;-57.2;45;525;1;807;6620157;426970;324;0;8445559805
gNodeB - ID:32990467/254 PCI:313;103.880742;1.294537;-173.543274;1.318711;1.064901;1;280;360;30;-53.6;314;525;1;807;6620158;426970;313;0;8445559806
gNodeB - ID:33001987/253 PCI:897;103.918548;1.303987;-38.714680;11.963734;5.158573;1;0;360;30;-67.8;96;525;1;807;9569277;426970;897;0;8448508925
gNodeB - ID:33041987/254 PCI:802;103.928352;1.307604;-37.732792;1.854279;1.817916;1;240;360;30;-70.2;140;525;1;807;3032062;426970;802;0;8458748926
gNodeB - ID:33084195/255 PCI:959;103.969906;1.320346;-65.890800;7.194724;4.004550;1;0;360;30;-64.2;50;525;1;812;13837311;426970;959;0;8469554175
gNodeB - ID:33084515/254 PCI:235;103.967037;1.327503;-161.852371;0.200028;0.129886;1;140;119;30;-63.5;30;525;1;812;13919230;426970;235;0;8469636094
gNodeB - ID:33084867/253 PCI:603;103.961460;1.333710;-44.189075;0.468435;0.433487;1;180;360;30;-61.5;39;525;1;812;14009341;426970;603;0;8469726205
gNodeB - ID:33214787/253 PCI:372;103.891601;1.295458;-177.900940;0.205960;0.142508;1;70;216;30;-49.2;160;525;1;807;13714429;426970;372;0;8502985725
gNodeB - ID:33214787/255 PCI:374;103.891601;1.295458;-177.900940;0.205960;0.142508;1;190;229;30;-49.2;160;525;1;807;13714431;426970;374;0;8502985727
gNodeB - ID:33253155/253 PCI:657;103.961234;1.315994;-21.417559;2.541759;2.471184;1;60;360;30;-59.2;203;525;1;807;6759421;426970;657;0;8512807933
gNodeB - ID:33253155/254 PCI:946;103.960818;1.315829;-21.626371;1.053110;0.883988;1;60;336;30;-55.5;38;525;1;807;6759422;426970;946;0;8512807934
gNodeB - ID:33314627/253 PCI:276;103.894599;1.295878;-16.925072;8.014279;7.826730;1;0;360;30;-51.4;137;525;1;807;5719037;426970;276;0;8528544765
gNodeB - ID:33329635/254 PCI:742;103.945127;1.311633;-3.385806;6.492375;6.414015;1;0;360;30;-53.5;191;525;1;807;9561086;426970;742;0;8532386814
gNodeB - ID:33329635/255 PCI:743;103.945263;1.311640;-2.862486;10.342180;10.163343;1;0;360;30;-46.6;69;525;1;807;9561087;426970;743;0;8532386815
gNodeB - ID:33471107/253 PCI:849;103.857489;1.270158;-163.719833;1.106193;0.860474;1;50;145;30;-59.6;74;525;1;811;12223485;426970;849;0;8568603645
gNodeB - ID:33471107/254 PCI:850;103.857489;1.270158;-163.719833;1.106193;0.860474;1;290;146;30;-59.6;74;525;1;811;12223486;426970;850;0;8568603646
